time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-02T08:41:51.000Z,-21.412,-68.578,125.5,4.1,mb,,,,0.94,us,us20004wip,2016-04-14T22:51:40.040Z,"122km NNE of Calama, Chile",earthquake,7.4,7.1,0.213,6,reviewed,guc,us
2016-02-02T22:26:19.570Z,-21.742,-68.3608,117.3,4.6,mb,,31,0.82,0.77,us,us20004wqj,2016-04-14T22:51:41.040Z,"99km NE of Calama, Chile",earthquake,6.1,5.6,0.095,33,reviewed,us,us
2016-02-03T05:00:40.000Z,-23.568,-66.812,215,4.4,md,,,,0.48,us,us20004wrz,2016-04-14T22:51:41.040Z,"87km NW of San Antonio de los Cobres, Argentina",earthquake,10.1,8.3,,,reviewed,sja,sja
2016-02-03T09:07:13.980Z,-21.2639,-69.6443,45.15,4.1,mb,,67,0.241,0.72,us,us20004wsu,2016-04-14T22:51:42.040Z,"108km NNE of Tocopilla, Chile",earthquake,3,5,0.234,5,reviewed,us,us
2016-02-03T16:08:29.580Z,-29.6306,-72.0924,10,4.3,mb,,195,0.796,1.21,us,us20004wtq,2016-04-14T22:51:42.040Z,"80km WNW of Coquimbo, Chile",earthquake,3.4,1.8,0.217,6,reviewed,us,us
2016-02-03T17:20:55.500Z,-30.6222,-72.0518,10,4.4,mb,,158,0.362,1.19,us,us20004y5b,2016-04-14T22:51:42.040Z,"81km W of Ovalle, Chile",earthquake,3.9,1.9,0.539,1,reviewed,us,us
2016-02-04T04:18:00.760Z,-31.2561,-67.9142,10.4,4.2,mb,,128,2.417,0.88,us,us20004x06,2016-04-14T22:51:43.040Z,"50km NE of San Martin, Argentina",earthquake,7.4,8.3,0.263,4,reviewed,us,us
2016-02-04T17:55:00.740Z,-31.0531,-71.7082,25.27,4.9,mwr,,113,0.383,0.85,us,us20004x4m,2016-04-14T22:51:44.040Z,"70km SW of Ovalle, Chile",earthquake,6,4,,,reviewed,us,guc
2016-02-04T17:59:58.640Z,-31.0669,-71.7512,26.98,4.6,mb,,159,0.404,0.75,us,us20004yzf,2016-04-14T22:51:44.040Z,"74km SW of Ovalle, Chile",earthquake,6.8,6,0.244,5,reviewed,us,us
2016-02-04T22:45:09.690Z,-55.4201,-27.8039,20.58,4.7,mb,,104,5.145,0.46,us,us20004y0g,2016-04-14T22:51:44.040Z,"147km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.1,6.6,0.118,22,reviewed,us,us
2016-02-05T05:24:40.500Z,-31.0793,-71.7851,24.66,5,mwr,,145,0.424,0.8,us,us20004xzv,2016-04-19T01:33:18.040Z,"77km SW of Ovalle, Chile",earthquake,4.6,4.2,,,reviewed,us,guc
2016-02-05T05:28:08.110Z,-31.0741,-71.6711,23.7,5.1,mwr,,141,0.4,0.79,us,us20004xzw,2016-11-10T22:11:27.569Z,"69km SW of Ovalle, Chile",earthquake,5,4.2,,,reviewed,us,guc
2016-02-05T07:05:07.500Z,-20.9585,-67.427,214.2,4.4,mb,,65,1.81,0.58,us,us20004y08,2016-04-19T01:33:19.040Z,"83km SW of Uyuni, Bolivia",earthquake,6.3,10.2,0.179,9,reviewed,us,us
